,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,yes,0.721336586804743
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,yes,0.9999827273554046
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,yes,0.9191688913078269
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,yes,0.9919517011566282
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.4855420505469691
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,yes,0.9969220955139072
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,yes,0.8603985676240934
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,yes,0.9937148686983839
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,yes,0.9999914365888751
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,yes,0.9999999995995317
10,argouml,DEFECT,"// TODO: We don't really want this to be filled, but if it's not then // the user can't double click in the compartment to add a new literal // Apparently GEF thinks unfilled figs are only selectable by border //        setFilled(false);",yes,undetermined,0,0,0,yes,0.9398365924846385
11,argouml,DEFECT,"// TODO: We can't have a global ""current"" language // NotationProviderFactory2.setCurrentLanguage(newLanguage);",yes,undetermined,0,0,0,yes,0.9448543375016436
12,argouml,DEFECT,// TODO: We should warn the user we have removed something - tfm,yes,undetermined,0,0,0,yes,0.9932487802907559
13,argouml,DEFECT,// If we are not visible most likely we're being deleted. // TODO: This indicates a more fundamental problem that  // should be investigated - tfm - 20061230,yes,undetermined,0,0,0,yes,0.9813014636887378
14,argouml,DEFECT,"// FIXME: the following throws: // org.argouml.model.InvalidElementException:  // javax.jmi.reflect.InvalidObjectException: Object with  // MOFID 127-0-1-1-(...)000E75 no longer exists. //        applicableTagDefs = tagDefCBModel.getApplicableTagDefinitions(aClass); //        assertNotNull(""Tag Definition wasn't found in return value of "" //            + ""tagDefCBModel.getApplicableTagDefinitions(aClass), "" //            + ""after loading the project."", //            TestStereotypeUtility.findModelElementNamed( //                ProfileMother.TAG_DEFINITION_NAME_TD, applicableTagDefs));",yes,undetermined,0,0,0,yes,0.6482337472274595
15,argouml,DEFECT,//TODO i18n: GEF needs to pass us back the description // of what is being done.,yes,undetermined,0,0,0,yes,0.9652479277993928
16,argouml,DEFECT,// make it stretch vertically // TODO: The curBody must notify modification,yes,undetermined,0,0,0,yes,0.9043305647884624
17,argouml,DEFECT,// TODO: Is this next line safe? What happens if there is just one // comment edge or a comment edge and a single message?,yes,undetermined,0,0,0,yes,0.8152609143041937
18,argouml,DEFECT,// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems,yes,undetermined,0,0,0,yes,0.999998887731111
19,argouml,DEFECT,"// else if the y coordinate is outside of the classifier role, // we fix the y in the max y of the classifier role. // FIXME: We should increase the height of the classifier role,  // don't???",yes,undetermined,0,0,0,no,0.10123127942864857
20,argouml,DEFECT,"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work",yes,undetermined,0,0,0,yes,0.9999971670616216
21,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.013215358168306202
22,argouml,DEFECT,// TODO: Removed from UML2 //$NON-NLS-1$,yes,undetermined,0,0,0,yes,0.9999966311674615
23,argouml,DEFECT,// TODO: Only occurrence of isConcurrent in UML 2.1.1 is in index // it's not on the page that is indexed,yes,undetermined,0,0,0,yes,0.9813914250442516
24,argouml,DEFECT,"// TODO: This works for 90 degree angles, but is suboptimal // for other angles. It should reflect the angle, rather // than just using a negative offset along the same vector",yes,undetermined,0,0,0,yes,0.9422887953571516
25,argouml,DEFECT,// TODO: map UML2 names to UML1.x names //$NON-NLS-1$ //$NON-NLS-1$,yes,undetermined,0,0,0,yes,0.9336949130342972
26,argouml,DEFECT,"// TODO: Except this won't work because the names are different which // will cause a test in CheckUMLModelHelper to fail //        remap.put(""Core:Permission"", ""Core:PackageImport"");",yes,undetermined,0,0,0,yes,0.9655168494586566
27,argouml,DEFECT,// This doesn't work in UML2: both owner and property needed!,yes,undetermined,0,0,0,no,0.09290013845454337
28,argouml,DEFECT,"// FIXME: fails here. // The current behavior appears intentional (ie the test is wrong) - tfm //        assertNull(""The profile stereotype named \"""" //            + ProfileMother.STEREOTYPE_NAME_ST + ""\"" shouldn't be found."", //            findModelElementFromNamespace( //                StereotypeUtility.getAvailableStereotypes(aClass), //                ProfileMother.STEREOTYPE_NAME_ST, profileModel));",yes,undetermined,0,0,0,yes,0.9832706378045154
29,argouml,DEFECT,// TODO: This looks backwards. Left over from issue 2034?,yes,undetermined,0,0,0,yes,0.974453270055577
30,argouml,DEFECT,"// TODO: This doesn't work, but should //        Collection elements = Model.getFacade().getRootElements(); //        Model.getUmlHelper().deleteCollection(elements); //        elements = Model.getFacade().getRootElements(); //        assertTrue(""Failed to create clean environment"", elements.isEmpty());",yes,undetermined,0,0,0,no,0.515062066093677
31,argouml,DEFECT,// TODO: Issue 6144. It is proposed to allow any paclage to return as a potential // namespace. Commenting out until this is reviewed and clearly accepted by all.,yes,undetermined,0,0,0,yes,0.9342588420939936
32,argouml,DEFECT,// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.,yes,undetermined,0,0,0,yes,0.970643750122808
33,argouml,DEFECT,"/* Strange, but the Link.getConnection()
         * returns a Collection, not a List!
         * This is a bug, compared to the UML standard (IMHO, mvw).
         * Hence, the LinkEnd is added to the end instead... */",yes,undetermined,0,0,0,no,0.017722722471273284
34,argouml,DEFECT,// TODO: synchronized is required here as there can be some  // concurrent modification problems when drawing a call message and // having that automatically draw the reply. Maybe fixing the TODO // below will resolve this and the synch can go.,yes,undetermined,0,0,0,yes,0.9968974349095217
