,projectname,classification,commenttext,label,code,yes_vote,no_vote
0,argouml,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////// // event handlers,no,undetermined,0,9
1,argouml,WITHOUT_CLASSIFICATION,"/*
         * The nameFig is transparent, since this is a box and the fill color is
         * drawn by the bigPort.
         */",no,undetermined,0,9
2,argouml,IMPLEMENTATION,// TODO: UML2 - what do we do here?,yes,undetermined,9,0
3,argouml,DESIGN,"/**
     * Initialize the ArgoUML application version, so that
     * {@link ApplicationVersion#getVersion()} doesn't return null.
     *
     * @throws Exception if something goes wrong...
     * TODO: move this to an helper class.
     */",yes,undetermined,8,1
4,argouml,WITHOUT_CLASSIFICATION,//        JPanel docPane = pane.getTab(TabDocumentation.class);,no,undetermined,0,9
5,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.ui.AbstractActionNavigate#navigateTo(java.lang.Object)
     */",no,undetermined,0,9
6,argouml,DESIGN,// TODO: How does the pressed cancel become a java.lang.Exception?,yes,undetermined,9,0
7,argouml,WITHOUT_CLASSIFICATION,// empty at the moment,no,undetermined,0,9
8,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()
     */",no,undetermined,0,9
9,argouml,WITHOUT_CLASSIFICATION,"// Expressions are DataTypes, not independent model elements // be careful not to reuse them",no,undetermined,0,9
10,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.tree.TreeModel#getChild(java.lang.Object, int)
     */",no,undetermined,0,9
11,argouml,WITHOUT_CLASSIFICATION,// It is a UML element that is not a ModelElement,no,undetermined,0,9
12,argouml,DOCUMENTATION,"/*
     * TODO: needs documenting, why synchronized?
     */",yes,undetermined,9,0
13,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.filechooser.FileFilter#getDescription()
     */",no,undetermined,0,9
14,argouml,WITHOUT_CLASSIFICATION,// only classes with name need a constructor,no,undetermined,0,9
15,argouml,WITHOUT_CLASSIFICATION,"// Set bounds will be called from our superclass constructor before // our constructor has run, so make sure this gets set up if needed.",no,undetermined,0,9
16,argouml,WITHOUT_CLASSIFICATION,"// nothing we can do about veto, so just ignore it",no,undetermined,0,9
17,argouml,WITHOUT_CLASSIFICATION,// handles all children of relationship including extend and // include which are not members of core,no,undetermined,0,9
18,argouml,WITHOUT_CLASSIFICATION,// Fonts and colors should get updated automatically for contained figs,no,undetermined,0,9
19,argouml,WITHOUT_CLASSIFICATION,/* end class ChildGenRelated */,no,undetermined,0,9
20,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object)
     */",no,undetermined,0,9
21,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see java.lang.Object#clone()
     */",no,undetermined,0,9
22,argouml,WITHOUT_CLASSIFICATION,// initialize test data,no,undetermined,0,9
23,argouml,IMPLEMENTATION,"/**
     * Flag to indicate we are creating a new current project.
     * TODO: This isn't a thread-safe way of doing mutual exclusion.
     */",yes,undetermined,7,2
24,argouml,WITHOUT_CLASSIFICATION,// Get a DOMImplementation,no,undetermined,0,9
25,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.ui.TabTarget#refresh()
     */",no,undetermined,0,9
26,argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.cognitive.critics.CrUML#getCriticizedDesignMaterials()
     */",no,undetermined,0,9
