,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba,svm_pred_7,svm_pred_7_proba
0,jruby-1.4.0,DEFECT,"// TODO: we loose encoding information here, fix it",yes,undetermined,0,0,0,yes,0.9911354633148228,yes,0.9915258312632345,yes,0.9929114593227064,yes,0.9936277126378166,yes,0.9937262210570718,yes,0.9940804840482274,yes,0.9940939123613984,yes,0.9943715913541789
1,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes,undetermined,0,0,0,yes,0.9918174590229528,yes,0.9927924827792883,yes,0.9945643646935075,yes,0.9951996155079499,yes,0.9952971455277428,yes,0.9955763115684785,yes,0.9955111240047675,yes,0.9957345076760014
2,jruby-1.4.0,DEFECT,// TODO: Numeric.new works in Ruby and it does here too.  However trying to use //   that instance in a numeric operation should generate an ArgumentError. Doing //   this seems so pathological I do not see the need to fix this now.,yes,undetermined,0,0,0,yes,0.9877408955675028,yes,0.9915080719086513,yes,0.9929063531276442,yes,0.9936264454899221,yes,0.9937167078345082,yes,0.9940859221319358,yes,0.9940799103613049,yes,0.994358106657291
3,jruby-1.4.0,DEFECT,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",yes,undetermined,0,0,0,no,0.5,no,0.47925671537558845,no,0.5,no,0.5,no,0.5,no,0.5,no,0.4912002952350295,no,0.490063358205115
4,jruby-1.4.0,DEFECT,// TODO: take BigDecimal.mode into account.,yes,undetermined,0,0,0,yes,0.9621496305670522,yes,0.9915252331585378,yes,0.9929032997215411,yes,0.9936254606840902,yes,0.9937288448117136,yes,0.9940789716085022,yes,0.9940956569527368,yes,0.9943732714675086
5,jruby-1.4.0,DEFECT,// TODO: full-precision remainder is 1000x slower than MRI!,yes,undetermined,0,0,0,yes,0.7077683185961758,yes,0.8553008905771418,yes,0.8655594940234157,yes,0.869230324572704,yes,0.8689674947706594,yes,0.8711528329813224,yes,0.8686045665786093,yes,0.870332244901754
6,jruby-1.4.0,DEFECT,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);,yes,undetermined,0,0,0,yes,0.9273834738411696,yes,0.9915177329968067,yes,0.9928973512668571,yes,0.993629312046491,yes,0.9937203231329688,yes,0.9940782544191201,yes,0.9940856005831746,yes,0.9943635866957587
7,jruby-1.4.0,DEFECT,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup.",yes,undetermined,0,0,0,yes,0.8584870328659987,yes,0.8331338245777207,yes,0.871735535150437,yes,0.8868680072740177,yes,0.8895203673579903,yes,0.8924195931821399,yes,0.8912241207555502,yes,0.8929004810319511
8,jruby-1.4.0,DEFECT,"// TODO: Rewriter and compiler assume case when empty expression.  In MRI this is just // a when. //        assert caseNode != null : ""caseNode is not null"";",yes,undetermined,0,0,0,yes,0.6453714687319203,yes,0.5544003424472035,yes,0.5709226356145346,yes,0.5703036833577859,yes,0.568444307449447,yes,0.569693743805507,yes,0.5731820356595397,yes,0.5728914766927605
9,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9742963890810451,yes,0.9915211280822332,yes,0.9929157035288934,yes,0.9936243229588015,yes,0.993725683844907,yes,0.9940813190749818,yes,0.9940886787696438,yes,0.9943665511575355
